,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,유한준,넥센,0.362,139,598,520,103,188,42,1,23,301,116,1,8
1,2,박병호,넥센,0.343,140,622,528,129,181,35,1,53,377,146,0,4
2,3,허정협,넥센,0.333,4,6,6,1,2,0,0,0,2,0,0,0
3,3,홍성갑,넥센,0.333,7,10,9,0,3,0,0,0,3,2,0,0
4,5,이택근,넥센,0.326,105,401,347,61,113,16,1,10,161,44,3,4
5,6,고종욱,넥센,0.310,119,443,407,81,126,25,4,10,189,51,4,1
6,7,김민성,넥센,0.303,118,489,445,60,135,24,0,16,207,71,2,3
7,8,서건창,넥센,0.298,85,368,312,52,93,24,4,3,134,37,11,2
8,9,윤석민,넥센,0.294,108,418,361,54,106,24,1,14,174,71,5,7
9,10,김하성,넥센,0.290,140,582,511,89,148,35,5,19,250,73,4,6
10,11,스나이더,넥센,0.281,113,487,431,88,121,26,1,26,227,71,3,5
11,12,강지광,넥센,0.278,13,21,18,3,5,0,0,0,5,2,0,0
12,13,장시윤,넥센,0.276,17,31,29,2,8,0,0,0,8,2,2,0
13,14,박동원,넥센,0.266,127,443,379,47,101,12,1,14,157,61,10,8
14,15,김재현,넥센,0.262,59,71,65,7,17,3,0,1,23,6,2,1
15,16,유재신,넥센,0.259,62,32,27,21,7,2,0,0,9,3,2,0
16,17,송성문,넥센,0.250,7,12,12,0,3,0,0,0,3,1,0,0
17,18,박헌도,넥센,0.248,108,267,218,31,54,13,0,8,91,42,3,2
18,19,유선정,넥센,0.240,17,27,25,1,6,0,0,0,6,2,0,0
19,20,문우람,넥센,0.235,63,138,119,22,28,10,0,2,44,22,1,3
20,21,김지수,넥센,0.235,104,151,132,23,31,7,0,0,38,13,7,1
21,22,서동욱,넥센,0.233,55,118,103,14,24,5,0,3,38,15,1,0
22,23,임병욱,넥센,0.186,40,52,43,13,8,1,1,1,14,3,0,0
23,24,장영석,넥센,0.125,6,8,8,0,1,0,0,0,1,0,0,0
24,25,김민준,넥센,0.000,2,2,1,1,0,0,0,0,0,0,0,0
25,25,김택형,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0
26,25,마정길,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0
27,25,문성현,넥센,-,2,0,0,0,0,0,0,0,0,0,0,0
28,25,손승락,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0
29,25,한현희,넥센,-,2,0,0,0,0,0,0,0,0,0,0,0
